Produced from ace CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  3  0  0  0   0     0.67    -9.90    -4.69   -416.21     -2.04      3.24   13.6513    85461.8
2024  5  3  0  1  0   0     0.64   -10.14    -5.81   -417.79      5.48      3.33   11.8012    78941.5
2024  5  3  0  2  0   0     0.48   -10.02    -6.46   -418.30     17.26      1.85   11.7196    76493.9
2024  5  3  0  3  0   0    -0.02    -9.65    -6.24   -420.88     14.82      2.50   13.2354    73279.0
2024  5  3  0  4  0   0     1.40    -9.66    -2.80   -414.97      6.22      7.34   14.7513    69546.8
2024  5  3  0  5  0   0     1.75   -10.00    -0.37   -414.21      3.84      6.80   15.0313    88117.2
2024  5  3  0  6  0   0     0.88   -10.62    -1.61   -420.18      8.42     10.16   13.0275    71406.2
2024  5  3  0  7  0   0    -2.01   -10.48    -1.88   -431.30      0.88     11.51   10.3141    88276.5
2024  5  3  0  8  0   0    -2.66    -9.80    -2.95   -435.19      1.12      7.65   10.8737    91809.8
2024  5  3  0  9  0   0    -4.66    -9.41    -4.21   -439.07      1.36      3.79   11.4332    95343.1
2024  5  3  0 10  0   0    -4.32    -9.86    -3.31   -442.73      3.78      7.42   10.7331    90243.3
2024  5  3  0 11  0   0    -3.08   -10.32    -2.93   -446.52     10.28      7.89   10.6530    90383.8
2024  5  3  0 12  0   0    -1.74   -11.03    -2.33   -436.61      7.11     13.33    9.3081    86741.4
2024  5  3  0 13  0   0    -1.83   -10.75    -2.94   -433.40     -1.71      8.28   10.4856   104158.8
2024  5  3  0 14  0   0    -4.59   -10.28    -0.56   -444.01      0.26     10.74   10.1967    99682.7
2024  5  3  0 15  0   0    -3.27   -10.54    -1.07   -440.47      6.07     15.05   11.9145    95512.7
2024  5  3  0 16  0   0    -2.87   -10.45    -1.78   -439.46     13.66     16.91   10.5306    87564.0
2024  5  3  0 17  0   0     0.13   -10.94    -0.47   -426.91     -2.06     17.87   10.7886    89187.3
2024  5  3  0 18  0   0    -0.07   -10.91    -1.25   -424.21     -0.11     16.74   10.5664   101775.5
2024  5  3  0 19  0   0    -0.50   -10.34    -2.18   -424.35      6.00     14.31   11.3793   100960.7
2024  5  3  0 20  0   0    -2.28   -10.05    -1.78   -428.35      9.43     17.32   12.4255   102283.1
2024  5  3  0 21  0   0    -3.68   -10.40    -0.75   -436.44      0.27     17.13   11.3058    84450.5
2024  5  3  0 22  0   0    -3.63    -9.96    -1.22   -435.55     -4.02     16.12   12.6982    94052.2
2024  5  3  0 23  0   0    -3.93    -9.83    -0.26   -437.69      0.77     19.39   13.1092    93312.1
2024  5  3  0 24  0   0     1.84    -8.40    -4.09   -425.81     10.26     14.07   13.0964    91252.4
2024  5  3  0 25  0   0     1.80    -8.02    -4.38   -413.92     19.76      8.75   13.0836    89192.8
2024  5  3  0 26  0   0     2.31    -8.50    -4.65   -416.93     13.91      9.13   12.8166    82848.5
2024  5  3  0 27  0   0     1.18    -8.43    -4.05   -419.94      8.06      9.51   12.5497    76504.3
2024  5  3  0 28  0   0    -5.33    -5.63     4.70   -437.96      1.94     22.52   11.4202   103750.1
2024  5  3  0 29  0   0    -7.45     4.38     7.00   -449.51      6.35     28.50       nan   102540.0
2024  5  3  0 30  0   0    -8.24     4.56     6.27       nan       nan       nan       nan        nan
2024  5  3  0 31  0   0    -9.05     3.24     6.23   -472.59     15.16     40.47    8.0316   100119.7
2024  5  3  0 32  0   0    -9.72    -0.99     6.56   -470.96      1.99     40.49    7.5981   103466.9
2024  5  3  0 33  0   0   -10.20    -2.47     5.28   -473.05      7.52     37.49    8.2975    90698.5
2024  5  3  0 34  0   0    -8.98    -6.66     3.38   -465.11    -11.59     29.69    8.8596    82572.9
2024  5  3  0 35  0   0    -8.00    -5.72     5.06   -462.96    -12.98     28.10    9.2273    84415.0
2024  5  3  0 36  0   0    -7.69    -2.73     8.03       nan       nan       nan       nan        nan
2024  5  3  0 37  0   0    -7.35    -5.48     5.33   -458.65    -15.74     24.91    9.9628    88099.1
