Combined L1 Data for 2024-05-06 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5  6  0  0  0   0    -3.02    11.04     6.90   -383.89     -3.63     -1.41   10.6951    99131.0  3  0
2024  5  6  0  1  0   0    -3.74    11.31     7.53   -383.89      5.86     19.11    8.4448    76254.6  2  1
2024  5  6  0  2  0   0    -4.14    11.04     8.48   -381.38      0.23      5.84    7.4911    94859.5  3  0
2024  5  6  0  3  0   0    -4.78    10.95     8.76   -376.58      3.42     -1.45    6.5600    93300.8  3  0
2024  5  6  0  4  0   0    -4.60    11.25     8.71   -375.53      4.00     -8.74    5.9400    91755.1  3  0
2024  5  6  0  5  0   0    -4.76    10.91     9.20   -375.99      3.72     -7.97    6.1200    97226.7  3  0
2024  5  6  0  6  0   0    -4.76    10.50     9.37   -379.89     -6.99     -7.20    6.0700    99010.0  3  0
2024  5  6  0  7  0   0    -4.87    10.97     9.24   -377.89     -4.20     -8.06    6.3200    95567.0  3  0
2024  5  6  0  8  0   0    -4.92    10.83     9.20   -379.03     -3.89     -8.92    6.1400    90336.2  3  0
2024  5  6  0  9  0   0    -4.48    11.31     8.83   -380.18     -4.14     -9.78    6.1300    89233.2  3  0
2024  5  6  0 10  0   0    -4.53    11.41     8.82   -380.59     -2.07     -8.73    6.1200    92283.6  3  0
2024  5  6  0 11  0   0    -4.56    11.32     8.67   -381.77     -5.90     -7.69    6.1500   100471.0  3  0
2024  5  6  0 12  0   0    -4.59    11.35     8.58   -381.47    -10.59     -5.19    5.9600    93724.0  3  0
2024  5  6  0 13  0   0    -4.79    11.41     8.78   -377.39     -5.42     -5.33    6.0400   101402.3  3  0
2024  5  6  0 14  0   0    -4.59    11.39     8.78   -379.45     -2.07     -5.48    5.9700   102176.1  3  0
2024  5  6  0 15  0   0    -4.58    11.32     8.96   -378.91     -3.28     -3.41    5.9700   100742.0  3  0
2024  5  6  0 16  0   0    -4.55    11.19     9.08   -378.64     -9.70     -1.33    6.3200   103424.0  3  0
2024  5  6  0 17  0   0    -4.73    10.71     9.11   -376.81     -7.40     -7.62    7.1300   103745.0  3  0
2024  5  6  0 18  0   0    -4.59    10.66     9.12   -378.83     -4.58     -8.64    7.1400    95561.0  3  0
2024  5  6  0 19  0   0    -4.40    10.99     8.96   -377.87     -2.41     -9.66    7.3900   104071.0  3  0
2024  5  6  0 20  0   0    -4.41    10.92     8.86   -381.02     -7.80     -8.80    7.5200   102392.0  3  0
2024  5  6  0 21  0   0    -4.41    10.26     8.89   -380.54     -5.49     -7.94    9.0766   107081.0  3  0
2024  5  6  0 22  0   0    -4.41    10.35     8.93   -380.29      0.08     -5.76    8.7941   107180.0  3  0
2024  5  6  0 23  0   0    -4.31    10.18     9.29   -378.39      0.35     -1.00    8.7509   107683.0  3  0
2024  5  6  0 24  0   0    -4.22    10.49     8.94   -379.79     -3.47     -5.10    8.7076   113485.6  3  0
2024  5  6  0 25  0   0    -4.06    10.96     8.72   -381.18     -7.36     -4.40    8.6644   108440.0  3  0
2024  5  6  0 26  0   0    -3.94     9.95     8.84   -380.76     -5.00     -4.44    8.6211   101572.0  3  0
2024  5  6  0 27  0   0    -4.40     9.08     9.32   -384.22     -0.30     -3.45    7.7915   102372.9  3  0
2024  5  6  0 28  0   0    -4.52     8.80     9.50   -381.12      2.24     -4.95    7.9800   105741.4  3  0
2024  5  6  0 29  0   0    -4.62     8.98     9.45   -384.49     -1.12     -6.45    7.6300   101348.6  3  0
