Propagated L1 Data for 2024-05-10 (Target: 14 Re) (GSM nT, km/s, cm^-3, K)
year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 10  0 55  0   0    -4.73     1.73    -3.84   -405.15     -4.60     18.86    5.8800    77068.1
2024  5 10  0 56  0   0    -4.83     2.06    -3.71   -404.29     -5.20     16.54    5.8700    77259.0
2024  5 10  0 58  0   0    -4.89     2.34    -3.57   -395.27     -0.44     12.54    5.7600    65100.3
2024  5 10  0 59  0   0    -4.90     2.24    -3.29   -397.44     -6.55     13.50    5.4300    77815.7
2024  5 10  1  0  0   0    -4.67     2.48    -3.40   -401.70     -7.01      9.57    5.4800   101160.4
2024  5 10  1  1  0   0    -4.52     2.24    -3.45   -400.74     -7.07     10.56    5.4100    87739.0
2024  5 10  1  2  0   0    -4.35     2.34    -3.56   -400.74     -7.14     11.54    5.4700    86850.0
2024  5 10  1  3  0   0    -4.45     2.23    -3.49   -401.64     -5.31     12.82    5.3700    83247.0
2024  5 10  1  4  0   0    -4.40     1.89    -3.43   -398.57     -1.51     14.10    5.2900    81292.0
2024  5 10  1  5  0   0    -4.42     2.06    -3.30   -398.73     -0.94     12.22    5.2100    79337.0
2024  5 10  1  6  0   0    -4.40     1.77    -3.55   -398.88     -0.38     10.34    5.1300    77382.0
2024  5 10  1  7  0   0    -4.15     2.05    -3.47   -400.52     -1.35      8.46    5.5100    87941.0
2024  5 10  1  8  0   0    -3.80     2.11    -3.16   -405.95     -9.27     17.78    5.4600    59078.7
2024  5 10  1  9  0   0    -4.08     2.50    -3.56   -403.05     -8.65      2.82    5.5800    76802.3
2024  5 10  1 11  0   0    -3.69     3.14    -2.72   -404.97    -13.01      5.67    5.6200    81788.0
2024  5 10  1 12  0   0    -3.44     3.53    -3.04   -403.77    -21.30      7.09    5.7700    81167.0
2024  5 10  1 13  0   0    -3.68     3.10    -2.93   -405.15    -18.95     11.51    5.4100    62436.2
2024  5 10  1 14  0   0    -3.94     2.74    -3.39   -402.14     -5.16     14.06    5.2800    57561.5
2024  5 10  1 15  0   0    -4.02     2.29    -3.39   -403.28    -11.80     12.52    5.3300    67556.1
2024  5 10  1 17  0   0    -4.26     1.48    -3.41   -406.44    -30.95     12.57    4.8200    58033.5
