Produced from wind CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 13  0  0  0   0    -7.49     4.42     0.08       nan       nan       nan       nan        nan
2024  5 13  0  1  0   0    -7.41     4.49    -0.68       nan       nan       nan       nan        nan
2024  5 13  0  2  0   0    -6.82     5.04     1.70   -818.07     -4.20     19.48    6.4879   599801.8
2024  5 13  0  3  0   0    -7.12     4.77     1.16   -817.05     -5.59     17.55    6.5740   599355.2
2024  5 13  0  4  0   0    -6.99     5.03     1.08   -816.02     -6.97     15.63    6.6602   598908.7
2024  5 13  0  5  0   0    -6.72     5.02     1.80   -817.55     -7.24     14.38    6.7314   641247.2
2024  5 13  0  6  0   0    -6.66     5.28     1.04       nan       nan       nan       nan        nan
2024  5 13  0  7  0   0    -6.92     5.02     1.04   -820.60     -7.79     11.90    6.8738   730261.7
2024  5 13  0  8  0   0    -6.31     5.42    -0.46   -819.88     -5.34     11.07    6.9541   646812.0
2024  5 13  0  9  0   0    -6.50     5.32    -0.95       nan       nan       nan       nan        nan
2024  5 13  0 10  0   0    -6.30     5.50    -1.01   -818.44     -0.44      9.42    7.1146   495097.6
2024  5 13  0 11  0   0    -6.46     4.60    -1.90   -809.88     -2.67     19.79    7.1942   537886.7
2024  5 13  0 12  0   0    -6.50     3.43    -2.88   -801.31     -4.88     30.16    7.2738   582449.1
2024  5 13  0 13  0   0    -6.80     3.51    -1.98   -806.89     -4.29     21.74    7.7682   570639.6
2024  5 13  0 14  0   0    -6.98     3.75     0.94   -812.48     -3.70     13.32    8.2626   558951.0
2024  5 13  0 15  0   0    -6.66     2.42    -3.10   -807.31     -0.46     28.98    8.7667   566660.5
2024  5 13  0 16  0   0    -6.26     2.53    -3.76   -806.60     -2.32     27.52    8.5376   573576.4
2024  5 13  0 17  0   0    -6.51     2.91    -2.78   -805.89     -4.18     26.06    8.3085   580534.1
2024  5 13  0 18  0   0    -6.82     2.73    -2.59   -807.43     -2.77     22.42    8.1201   554834.1
2024  5 13  0 19  0   0    -6.86     3.03    -2.42   -806.60     -4.40     23.47    7.9917   551924.5
2024  5 13  0 20  0   0    -6.58     3.16    -2.52   -805.77     -6.03     24.52    7.8632   549022.6
2024  5 13  0 21  0   0    -6.35     3.06    -2.98   -806.34     -4.05     23.53    7.7324   549521.4
2024  5 13  0 22  0   0    -6.32     3.55    -2.52       nan       nan       nan       nan        nan
2024  5 13  0 23  0   0    -6.35     3.56    -2.40   -807.49     -0.09     21.54    7.4707   550519.8
2024  5 13  0 24  0   0    -6.53     3.21    -2.28   -809.73     -2.56     23.00    7.3829   554989.6
2024  5 13  0 25  0   0    -6.30     3.67    -2.23   -811.98     -5.04     24.47    7.2952   559477.5
2024  5 13  0 26  0   0    -6.37     3.74    -1.37   -815.09     -3.70     19.24    7.5331   545664.4
2024  5 13  0 27  0   0    -6.59     3.66    -0.27   -818.20     -2.37     14.00    7.7710   532024.0
2024  5 13  0 28  0   0    -6.30     3.65    -1.84   -833.13      3.80      3.00    5.5967   948863.8
2024  5 13  0 29  0   0    -6.47     3.54    -2.29   -828.68      3.15      6.75    6.7397   793476.8
2024  5 13  0 30  0   0    -6.69     3.38     0.49   -824.22      2.50     10.50    7.8826   651975.5
2024  5 13  0 31  0   0    -6.55     3.36     0.17   -822.90      2.32     10.15    7.8512   640023.6
2024  5 13  0 32  0   0    -6.52     3.15     0.27   -824.37      3.87     10.61    8.0233   694431.4
2024  5 13  0 33  0   0    -6.60     2.80    -0.35   -825.84      5.43     11.07    8.1954   751058.5
2024  5 13  0 34  0   0    -6.70     2.59    -0.55   -821.48      4.58     10.26    7.8386   668462.1
2024  5 13  0 35  0   0    -6.71     2.57    -0.78   -817.13      3.73      9.45    7.4818   590675.8
2024  5 13  0 36  0   0    -6.64     2.40    -1.61   -830.00     12.81     18.40    6.8686   701125.5
2024  5 13  0 37  0   0    -6.27     2.27    -2.62   -828.75     10.69     15.89    7.7005   658896.9
