Produced from DSCOVR NOAA NGDC NetCDF (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 23  0  0  0   0    -2.59    -3.10     1.64   -395.20     22.70    -28.70    4.4200    64706.0
2024  5 23  0  1  0   0    -3.38    -3.37     1.80   -389.20     26.10    -36.80    4.3600    72615.0
2024  5 23  0  2  0   0    -3.62    -2.71     1.80   -388.10     18.70    -50.00    4.6900    81422.0
2024  5 23  0  3  0   0    -3.05    -2.72     1.23   -389.10     22.30    -37.80    4.8500    77660.0
2024  5 23  0  4  0   0    -2.31    -1.91     1.06   -390.00     25.20    -23.40    5.8800    78814.0
2024  5 23  0  5  0   0    -2.37    -1.97     1.06   -388.90     27.40    -17.40    5.7100    75859.0
2024  5 23  0  6  0   0    -3.02    -2.33     1.29   -388.20     20.90    -36.80    5.0400    76949.0
2024  5 23  0  7  0   0    -3.17    -2.60     1.49   -388.30     19.50    -41.10    4.8800    78600.0
2024  5 23  0  8  0   0    -2.78    -2.38     1.32   -388.10     22.70    -28.30    5.1300    77938.0
2024  5 23  0  9  0   0    -2.49    -2.03     1.28   -388.90     27.70    -23.30    5.4900    74025.0
2024  5 23  0 10  0   0    -2.87    -2.35     1.60   -389.10     20.30    -36.70    4.9700    77132.0
2024  5 23  0 11  0   0    -2.59    -2.20     1.40   -389.50     20.70    -34.80    5.4000    80276.0
2024  5 23  0 12  0   0    -2.78    -2.68     1.55   -389.20     19.60    -37.50    5.0100    78619.0
2024  5 23  0 13  0   0    -2.92    -2.80     1.93   -389.10     20.30    -36.10    5.0400    77734.0
2024  5 23  0 14  0   0    -2.27    -2.54     1.64   -390.80     22.80    -30.00    5.4100    73318.0
2024  5 23  0 15  0   0    -2.47    -2.27     1.80   -388.70     26.90    -26.50    5.5100    73912.0
2024  5 23  0 16  0   0    -2.75    -2.45     1.97   -389.50     25.30    -32.40    5.2600    78408.0
2024  5 23  0 17  0   0    -2.84    -2.19     2.18   -388.70     25.70    -33.60    5.3000    79155.0
2024  5 23  0 18  0   0    -2.42    -1.88     2.10   -388.80     28.10    -25.40    5.5600    76271.0
2024  5 23  0 19  0   0    -2.67    -1.75     2.40   -388.50     27.80    -24.20    5.5400    76053.0
