Re-processed combined L1 for 2024-05-08
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  8  0  0  0   0    -2.31     2.43     2.55   -484.93     -9.38     -0.69    2.3131        nan
2024  5  8  0  1  0   0    -2.05     2.36     2.55   -485.11     -4.03     -5.72    2.2965        nan
2024  5  8  0  2  0   0    -2.05     2.40     2.47   -490.70      1.73     -8.12    2.7241   262274.6
2024  5  8  0  3  0   0    -2.48     2.22     2.45   -492.20      2.92    -12.76    2.7932   226251.9
2024  5  8  0  4  0   0    -2.69     2.21     2.53   -492.90      2.50    -13.40    2.7928   236551.8
2024  5  8  0  5  0   0    -2.67     2.35     2.48   -496.25      2.08    -14.04    2.7924   247310.3
2024  5  8  0  6  0   0    -2.94     1.96     2.44   -492.73      1.66    -14.69    2.7920   258068.8
2024  5  8  0  7  0   0    -3.15     1.33     2.46   -489.20      1.24    -15.33    2.7916   268827.3
2024  5  8  0  8  0   0    -2.76     1.88     2.27   -489.80     -2.05    -15.59    2.5994   240414.7
2024  5  8  0  9  0   0    -2.45     2.41     2.33   -488.80     -5.35    -15.84    2.4072   221521.0
2024  5  8  0 10  0   0    -1.75     2.96     2.19   -489.00     -8.64    -16.09    2.2150   202627.3
2024  5  8  0 11  0   0    -2.39     0.73     1.31   -495.22    -11.63     -0.53    2.0174   263415.5
2024  5  8  0 12  0   0    -3.28     0.53     1.69   -487.43     26.47     13.30    1.9801   342440.2
2024  5  8  0 13  0   0    -2.98     1.09     2.02   -481.29     11.06     12.64    1.9428   391079.0
2024  5  8  0 14  0   0    -2.71     1.28     2.09   -478.85     18.58      3.93    2.2551   362320.0
2024  5  8  0 15  0   0    -2.94     0.84     1.93   -484.59     27.97     -2.32    2.0459   391146.0
2024  5  8  0 16  0   0    -2.80     1.39     1.93   -480.79     27.20     -3.17    2.2450   376151.0
2024  5  8  0 17  0   0    -2.36     1.29     1.65   -481.17     12.39      1.10    2.0504   336156.0
2024  5  8  0 18  0   0    -2.32     1.07     1.65   -479.28     13.97      1.41    2.3045   258581.5
2024  5  8  0 19  0   0    -1.25     1.98     1.59   -480.55     -0.80    -18.34    1.7727   198908.9
2024  5  8  0 20  0   0    -0.06     3.05     1.60   -513.50     -3.53     -4.89    2.1644   153006.8
2024  5  8  0 21  0   0     0.71     3.52     1.37   -516.60     -8.73     -7.03    2.6210   117697.6
2024  5  8  0 22  0   0     0.27     3.50     1.05   -518.58    -12.80     -9.17    2.6313    90758.9
2024  5  8  0 23  0   0     0.82     3.15     0.71   -517.20     -6.39     -9.52    2.6899    82835.1
2024  5  8  0 24  0   0     0.42     3.32     1.12   -515.16     -3.31     -9.87    2.7485    90156.2
2024  5  8  0 25  0   0     0.85     2.94     1.44   -514.60     -0.81    -18.13    2.8572    97477.4
2024  5  8  0 26  0   0     0.84     3.25     1.44   -516.20     -0.80    -17.45    2.8379    85527.3
2024  5  8  0 27  0   0     0.82     3.29     1.03   -513.86    -13.92    -16.76    2.8186    68896.3
2024  5  8  0 28  0   0     0.61     3.48     0.74   -519.60     -7.94    -16.07    2.7993    89565.2
2024  5  8  0 29  0   0     0.62     3.64     1.09   -499.60      1.90      7.43    2.2636    74682.4
2024  5  8  0 30  0   0     0.36     3.44     1.28   -483.17      0.84      9.15    2.1980    88860.7
2024  5  8  0 31  0   0     0.78     3.31     1.63   -493.17    -19.67     11.52    2.1591    91820.4
2024  5  8  0 32  0   0     0.56     3.28     2.07   -503.17    -12.43      5.07    2.1742    83802.5
2024  5  8  0 33  0   0     0.28     3.46     1.42   -513.17    -12.86      6.54    2.1807    99007.4
2024  5  8  0 34  0   0     0.06     3.54     0.89   -519.14     -1.49    -11.94    2.6834   128709.6
2024  5  8  0 35  0   0     0.34     3.47     0.91   -520.84     -0.80    -14.15    2.7233   167322.5
2024  5  8  0 36  0   0     0.23     3.15     1.32   -503.68     -0.80    -16.36    2.7633   217519.3
2024  5  8  0 37  0   0    -2.10     2.81     1.30   -487.50      1.11    -18.57    2.8033   247893.3
2024  5  8  0 38  0   0    -2.55     2.49     1.46   -487.60      2.68    -16.82    2.8290   250455.5
2024  5  8  0 39  0   0    -2.15     2.41     1.95   -487.90      4.26    -15.08    2.8547   253063.8
2024  5  8  0 40  0   0    -2.61     1.91     1.92   -487.70      5.85    -13.34    2.8803   255672.1
2024  5  8  0 41  0   0    -2.62     1.87     1.89   -477.98      8.41     -1.41    2.2156   332373.8
2024  5  8  0 42  0   0    -2.44     1.38     2.32   -478.86     13.75     -4.82    1.8632   432085.9
2024  5  8  0 43  0   0    -2.34     2.06     1.80   -477.39     11.37     -6.50    1.8682   421611.0
2024  5  8  0 44  0   0    -2.37     2.32     1.09   -488.80     12.18     -6.37    2.4287   445121.0
2024  5  8  0 45  0   0    -2.14     2.40     1.45   -496.50      7.99     -0.21    2.7452   383958.0
2024  5  8  0 46  0   0    -2.73     2.56     0.86   -492.00      3.56      2.93    2.7683   372832.0
2024  5  8  0 47  0   0    -1.04     3.25     1.18   -502.00     -0.87      6.07    2.7914   385759.0
2024  5  8  0 48  0   0    -1.28     3.24     1.18   -503.40      0.76      9.94    2.7400   378844.0
2024  5  8  0 49  0   0    -2.38     2.88     1.44   -497.50      2.40     13.81    2.6886   389464.0
2024  5  8  0 50  0   0    -2.18     2.02     1.70   -499.50      5.14      4.33    3.0829   369118.0
2024  5  8  0 51  0   0    -2.31     3.06     1.45   -496.20      4.46      7.09    3.0579   370904.0
2024  5  8  0 52  0   0    -2.22     2.96     1.53   -493.90      3.79      9.85    3.0328   368076.0
2024  5  8  0 53  0   0    -1.68     2.85     1.55   -497.60      6.68      4.21    3.0315   377743.0
2024  5  8  0 54  0   0    -1.58     2.79     1.62   -498.50      9.55     -1.43    3.0302   370678.0
2024  5  8  0 55  0   0    -1.42     2.92     1.95   -503.90     12.43     -7.08    3.0288   380962.0
2024  5  8  0 56  0   0    -1.06     3.07     2.29   -493.70     -8.39     -3.60    2.4894   394053.0
2024  5  8  0 57  0   0    -1.50     3.10     2.14   -504.30     -0.80    -18.36    3.0262   378943.0
2024  5  8  0 58  0   0    -1.11     2.78     2.37   -504.20     -0.80    -19.39    3.0297   383136.0
2024  5  8  0 59  0   0    -1.26     2.89     2.50   -503.80     -0.80    -20.42    3.0333   381908.0
2024  5  8  1  0  0   0    -0.78     2.94     2.53   -504.50     -0.80    -21.45    3.0369   393728.0
2024  5  8  1  1  0   0     0.15     2.51     2.94   -498.15     -8.54     -5.90    2.3360   389260.0
2024  5  8  1  2  0   0     0.41     2.67     2.84   -512.03     -1.30    -23.51    3.0369   395182.0
2024  5  8  1  3  0   0     0.25     2.88     2.65   -512.22     -0.80    -19.44    3.0157   377630.0
2024  5  8  1  4  0   0    -0.07     3.20     2.27   -509.32     -0.80    -15.36    2.9874   372949.0
2024  5  8  1  5  0   0    -0.35     2.99     2.21   -508.65     -0.80    -16.22    2.9752   372071.0
2024  5  8  1  6  0   0    -0.62     3.14     2.17   -504.50     -0.80    -17.08    2.9630   363303.0
2024  5  8  1  7  0   0    -0.33     3.06     2.67   -504.00     -0.90    -17.95    2.9509   366807.0
2024  5  8  1  8  0   0    -0.13     3.07     2.64   -505.78     -9.65    -18.15    3.0601   401309.0
2024  5  8  1  9  0   0    -0.26     2.53     2.64   -505.90     -9.93    -18.35    3.1693   382132.0
2024  5  8  1 10  0   0    -0.38     3.07     2.31   -507.40    -10.20    -11.04    2.8875   397846.0
2024  5  8  1 11  0   0    -0.15     3.33     2.10   -507.10    -10.10     -9.51    2.9822   372935.0
2024  5  8  1 12  0   0    -0.23     3.24     2.02   -507.60     -7.43     -7.98    3.0768   376795.0
2024  5  8  1 13  0   0    -0.27     3.36     1.74   -506.40     -4.77    -10.29    3.0562   372925.0
2024  5  8  1 14  0   0     0.59     3.69     1.47   -505.83    -10.87     -5.04    3.0356   364125.0
2024  5  8  1 15  0   0    -0.16     3.21     2.33   -507.10     -3.35     -7.94    3.0151   406675.0
2024  5  8  1 16  0   0    -0.13     3.45     1.60   -502.93    -20.11      4.38    2.4556   390938.0
2024  5  8  1 17  0   0     0.42     3.34     1.85   -512.26    -12.24     -0.65    2.9740   465648.0
2024  5  8  1 18  0   0    -0.29     3.34     1.71   -507.34     -9.27     -0.10    2.9895   457007.0
2024  5  8  1 19  0   0    -0.50     3.48     1.81   -502.42    -20.57      0.46    3.0049   456906.0
2024  5  8  1 20  0   0     0.76     3.32     2.10   -512.42     -0.80      5.32    2.8180   433003.0
2024  5  8  1 21  0   0    -1.17     3.31     2.17   -501.11     -0.70      9.50    2.8676   404616.0
2024  5  8  1 22  0   0    -1.06     3.13     1.64   -504.48      4.44     13.69    2.9172   388454.0
2024  5  8  1 23  0   0    -1.33     2.84     2.62   -500.27      1.25     12.39    2.8645   391026.0
2024  5  8  1 24  0   0    -0.41     2.66     2.69   -500.48     -1.95     11.09    2.8118   395493.0
2024  5  8  1 25  0   0    -2.10     2.57     2.79   -496.48      4.74     21.37    2.9822   372305.0
2024  5  8  1 26  0   0    -1.90     2.11     1.88   -493.39     11.72     27.49    3.0004   416516.0
2024  5  8  1 27  0   0    -1.93     2.29     2.20   -491.45     18.70     33.59    3.0185   391674.0
2024  5  8  1 28  0   0    -0.45     1.42     2.85   -495.37     22.48     38.14    2.9881   377808.0
2024  5  8  1 29  0   0    -0.14     1.43     2.34   -499.30     26.26     42.69    2.9577   370747.0
2024  5  8  1 30  0   0    -1.52     1.12    -0.10   -498.70     40.62     46.27    2.9923   285190.0
2024  5  8  1 31  0   0    -2.47     1.40    -1.97   -489.40      8.02     40.80    2.9771   234146.0
2024  5  8  1 32  0   0    -2.04     1.91    -2.15   -490.70     -0.70     35.33    2.9619   208116.0
2024  5  8  1 33  0   0    -2.44     1.76    -1.91   -491.80     -0.70     34.41    2.9188   206532.0
2024  5  8  1 34  0   0    -2.79     0.89    -3.08   -488.90     21.80     33.49    2.8757   204954.1
2024  5  8  1 35  0   0    -2.79     1.68    -2.53   -487.51     11.05     36.89    2.8425   207083.7
2024  5  8  1 36  0   0    -2.20     1.65    -2.62   -488.94     -0.70     35.15    2.9674   211482.6
2024  5  8  1 37  0   0    -2.06     1.81    -2.58   -490.37      6.28     33.40    3.0924   215927.7
2024  5  8  1 38  0   0    -2.35     1.67    -2.29   -490.54     42.14     31.53    3.0088   211759.1
2024  5  8  1 39  0   0    -2.90     0.74    -2.24   -486.89     40.66     29.66    2.9252   207631.2
2024  5  8  1 40  0   0    -1.93     2.75    -1.38   -492.03     55.11     27.19    2.8935   231331.1
2024  5  8  1 41  0   0    -2.69     1.83    -1.76   -489.70     53.60     25.93    2.9156   223632.2
2024  5  8  1 42  0   0    -2.60     1.34    -1.75   -489.20     52.08     24.68    2.9376   216063.7
2024  5  8  1 43  0   0    -3.03     1.77    -0.85   -490.10     53.09     24.76    2.8974   219518.6
2024  5  8  1 44  0   0    -3.35    -0.28    -0.89   -489.30     54.10     24.85    2.8572   223001.0
2024  5  8  1 45  0   0    -3.47    -0.09    -0.59   -485.47     28.12     33.31    3.5933   275086.4
2024  5  8  1 46  0   0    -3.61    -0.57     0.09   -487.59     15.27     20.65    3.2144   247462.0
2024  5  8  1 47  0   0    -3.49     1.53     0.46   -488.70      2.41      8.00    2.8356   221298.9
2024  5  8  1 48  0   0    -3.29     1.24     0.79   -488.40      2.80      5.91    2.9490   212254.9
2024  5  8  1 49  0   0    -2.66     2.16     0.34   -488.86      3.18      3.81    3.0625   203399.6
2024  5  8  1 50  0   0    -2.72     2.35     0.51   -485.86      4.37     -0.63    2.8585   201745.5
2024  5  8  1 51  0   0    -2.95     1.25     0.41   -486.50      3.61     -0.64    2.8646   210713.1
2024  5  8  1 52  0   0    -3.27     1.70     0.53   -487.60      2.85     -0.65    2.8707   219875.8
2024  5  8  1 53  0   0    -3.21     1.87     0.64   -488.00      3.15      0.02    2.8754   227887.1
2024  5  8  1 54  0   0    -3.45     1.47     0.68   -488.20      3.46      0.70    2.8801   236041.8
2024  5  8  1 55  0   0    -3.15     1.20    -1.05   -487.60      3.57      0.81    2.8876   242184.9
2024  5  8  1 56  0   0    -2.82     1.89    -0.58   -487.40     -0.70      0.92    2.8951   248564.7
2024  5  8  1 57  0   0    -2.74     1.50    -0.80   -487.80      0.32      1.03    2.9026   254944.6
2024  5  8  1 58  0   0    -2.55     1.02    -1.27   -482.67     -5.25     25.73    2.9100   196111.2
2024  5  8  1 59  0   0    -2.50     1.34    -1.41   -486.90      0.60     23.14    2.9175   150854.8
2024  5  8  2  0  0   0    -2.39     1.97    -0.37   -489.09     -2.85      1.37    2.9250   196111.2
2024  5  8  2  1  0   0    -2.44     3.12     0.48   -490.85     -0.70     -3.01    2.9465   245602.6
2024  5  8  2  2  0   0    -2.55     2.99     0.48   -491.00      0.79     -7.39    2.9681   218683.2
2024  5  8  2  3  0   0    -2.32     3.12     1.22   -492.56     -0.70     -7.06    2.9185   217195.0
2024  5  8  2  4  0   0    -2.37     2.72     1.16   -490.60     -0.70     -6.73    2.8689   215711.9
